Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_36_127,VDD,Metal1,78.4000,160.7200,4.999985
FILLER_36_123,VDD,Metal1,77.1000,160.2875,4.999985
FILLER_36_107,VDD,Metal1,71.7280,160.0280,4.999985
FILLER_36_103,VDD,Metal1,64.9600,160.7200,4.999985
FILLER_36_99,VDD,Metal1,63.6600,160.2875,4.999985
FILLER_36_83,VDD,Metal1,58.2880,160.0280,4.999985
FILLER_36_72,VDD,Metal1,47.3200,160.7200,4.999985
FILLER_36_63,VDD,Metal1,42.2800,160.7200,4.999985
FILLER_36_61,VDD,Metal1,41.4400,160.7200,4.999985
FILLER_36_57,VDD,Metal1,40.1400,160.2875,4.999985
FILLER_36_50,VDD,Metal1,35.0000,160.7200,4.999985
FILLER_36_37,VDD,Metal1,28.0000,160.7200,4.999985
FILLER_36_34,VDD,Metal1,26.0400,160.7200,4.999985
FILLER_36_32,VDD,Metal1,25.2000,160.7200,4.999985
FILLER_36_22,VDD,Metal1,20.5400,160.2875,4.999985
FILLER_36_10,VDD,Metal1,13.8200,160.2875,4.999985
FILLER_36_2,VDD,Metal1,10.5865,160.1430,4.999985
FILLER_35_325,VDD,Metal1,189.0000,152.8800,4.999984
FILLER_35_279,VDD,Metal1,163.2400,152.8800,4.999984
FILLER_35_277,VDD,Metal1,162.4000,152.8800,4.999984
FILLER_35_273,VDD,Metal1,161.1000,153.3125,4.999984
FILLER_35_257,VDD,Metal1,155.7280,153.5720,4.999984
FILLER_35_250,VDD,Metal1,147.0000,152.8800,4.999984
FILLER_35_248,VDD,Metal1,146.1600,152.8800,4.999983
FILLER_35_240,VDD,Metal1,143.8665,153.4565,4.999983
FILLER_35_220,VDD,Metal1,131.4200,153.3125,4.999982
FILLER_35_212,VDD,Metal1,128.1865,153.4565,4.999982
FILLER_35_208,VDD,Metal1,123.7600,152.8800,4.999981
FILLER_35_189,VDD,Metal1,114.0600,153.3125,4.999981
FILLER_35_157,VDD,Metal1,104.2755,153.6485,4.999981
FILLER_35_58,VDD,Metal1,39.4800,152.8800,4.999945
FILLER_35_54,VDD,Metal1,38.4600,153.3125,4.999945
FILLER_35_36,VDD,Metal1,28.3800,153.3125,4.999946
FILLER_34_325,VDD,Metal1,189.0000,152.8800,4.999984
FILLER_34_317,VDD,Metal1,186.9865,152.3030,4.999984
FILLER_34_307,VDD,Metal1,181.3865,152.3030,4.999984
FILLER_34_302,VDD,Metal1,176.1200,152.8800,4.999984
FILLER_34_300,VDD,Metal1,175.2800,152.8800,4.999984
FILLER_34_296,VDD,Metal1,173.9800,152.4475,4.999984
FILLER_34_263,VDD,Metal1,155.5000,152.4475,4.999984
FILLER_34_247,VDD,Metal1,150.1280,152.1880,4.999984
FILLER_34_244,VDD,Metal1,143.6400,152.8800,4.999983
FILLER_34_242,VDD,Metal1,142.8000,152.8800,4.999982
FILLER_34_225,VDD,Metal1,133.2800,152.8800,4.999982
FILLER_34_209,VDD,Metal1,128.8480,152.1880,4.999982
FILLER_34_177,VDD,Metal1,115.4755,152.1110,4.999981
FILLER_34_119,VDD,Metal1,73.9200,152.8800,4.999943
FILLER_34_115,VDD,Metal1,72.6200,152.4475,4.999943
FILLER_34_107,VDD,Metal1,69.3865,152.3030,4.999943
FILLER_34_104,VDD,Metal1,65.2400,152.8800,4.999943
FILLER_34_100,VDD,Metal1,64.2200,152.4475,4.999943
FILLER_34_84,VDD,Metal1,58.8480,152.1880,4.999943
FILLER_34_61,VDD,Metal1,41.4400,152.8800,4.999945
FILLER_34_53,VDD,Metal1,39.1465,152.3030,4.999945
FILLER_34_37,VDD,Metal1,30.1865,152.3030,4.999946
FILLER_34_34,VDD,Metal1,26.0400,152.8800,4.999947
FILLER_34_26,VDD,Metal1,24.0265,152.3030,4.999960
FILLER_34_2,VDD,Metal1,12.9280,152.1880,4.999960
FILLER_33_294,VDD,Metal1,171.9200,145.0400,4.999955
FILLER_33_290,VDD,Metal1,170.6200,145.4725,4.999955
FILLER_33_282,VDD,Metal1,167.3865,145.6165,4.999955
FILLER_33_276,VDD,Metal1,162.7800,145.4725,4.999953
FILLER_33_268,VDD,Metal1,159.5465,145.6165,4.999953
FILLER_33_252,VDD,Metal1,152.9280,145.7320,4.999953
FILLER_33_214,VDD,Metal1,126.8400,145.0400,4.999952
FILLER_33_212,VDD,Metal1,126.0000,145.0400,4.999952
FILLER_33_209,VDD,Metal1,124.0400,145.0400,4.999952
FILLER_33_207,VDD,Metal1,123.2000,145.0400,4.999950
FILLER_33_203,VDD,Metal1,121.9000,145.4725,4.999950
FILLER_33_171,VDD,Metal1,112.1155,145.8085,4.999950
FILLER_33_154,VDD,Metal1,93.5200,145.0400,4.999950
FILLER_33_150,VDD,Metal1,92.2200,145.4725,4.999950
FILLER_33_142,VDD,Metal1,88.9865,145.6165,4.999950
FILLER_33_139,VDD,Metal1,84.8400,145.0400,4.999950
FILLER_33_137,VDD,Metal1,84.0000,145.0400,4.999950
FILLER_33_128,VDD,Metal1,78.6800,145.0400,4.999950
FILLER_33_120,VDD,Metal1,76.6665,145.6165,4.999950
FILLER_33_84,VDD,Metal1,54.3200,145.0400,4.999950
FILLER_33_80,VDD,Metal1,53.0200,145.4725,4.999950
FILLER_33_72,VDD,Metal1,49.7865,145.6165,4.999950
FILLER_33_68,VDD,Metal1,45.3600,145.0400,4.999952
FILLER_33_36,VDD,Metal1,36.5155,145.8085,4.999952
FILLER_32_325,VDD,Metal1,189.0000,145.0400,4.999956
FILLER_32_295,VDD,Metal1,173.4200,144.6075,4.999956
