Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_33_150,VSS,Metal1,91.4600,148.6110,0.000023
FILLER_33_142,VSS,Metal1,87.9730,148.4980,0.000024
FILLER_33_139,VSS,Metal1,84.8400,148.9600,0.000024
FILLER_33_137,VSS,Metal1,84.0000,148.9600,0.000024
FILLER_33_128,VSS,Metal1,78.6800,148.9600,0.000024
FILLER_33_120,VSS,Metal1,75.6530,148.4980,0.000024
FILLER_33_84,VSS,Metal1,54.3200,148.9600,0.000024
FILLER_33_80,VSS,Metal1,52.2600,148.6110,0.000024
FILLER_33_72,VSS,Metal1,48.7730,148.4980,0.000024
FILLER_33_68,VSS,Metal1,45.3600,148.9600,0.000024
FILLER_33_36,VSS,Metal1,35.1640,148.3620,0.000024
FILLER_32_325,VSS,Metal1,189.0000,141.1200,0.000037
FILLER_32_295,VSS,Metal1,172.6600,141.4685,0.000038
FILLER_32_279,VSS,Metal1,166.8320,141.6680,0.000041
FILLER_32_247,VSS,Metal1,153.3240,141.7175,0.000043
FILLER_32_243,VSS,Metal1,143.3600,141.1200,0.000043
FILLER_32_235,VSS,Metal1,140.0530,141.5815,0.000045
FILLER_32_123,VSS,Metal1,76.1600,141.1200,0.000052
FILLER_32_107,VSS,Metal1,70.5120,141.6680,0.000052
FILLER_32_97,VSS,Metal1,62.7730,141.5815,0.000052
FILLER_32_81,VSS,Metal1,55.9520,141.6680,0.000051
FILLER_32_73,VSS,Metal1,47.8800,141.1200,0.000050
FILLER_32_71,VSS,Metal1,47.0400,141.1200,0.000050
FILLER_32_67,VSS,Metal1,44.9800,141.4685,0.000048
FILLER_32_51,VSS,Metal1,39.1520,141.6680,0.000046
FILLER_32_42,VSS,Metal1,30.5200,141.1200,0.000046
FILLER_32_34,VSS,Metal1,26.0400,141.1200,0.000046
FILLER_32_18,VSS,Metal1,20.6720,141.6680,0.000046
FILLER_31_324,VSS,Metal1,188.7200,141.1200,0.000037
FILLER_31_290,VSS,Metal1,169.4000,141.1200,0.000041
FILLER_31_282,VSS,Metal1,166.3730,140.6580,0.000041
FILLER_31_278,VSS,Metal1,162.9600,141.1200,0.000043
FILLER_31_274,VSS,Metal1,160.9000,140.7710,0.000043
FILLER_31_239,VSS,Metal1,140.8400,141.1200,0.000045
FILLER_31_235,VSS,Metal1,139.0600,140.7710,0.000045
FILLER_31_227,VSS,Metal1,135.5730,140.6580,0.000047
FILLER_31_208,VSS,Metal1,123.7600,141.1200,0.000047
FILLER_31_204,VSS,Metal1,121.7000,140.7710,0.000049
FILLER_31_171,VSS,Metal1,103.2200,140.7710,0.000052
FILLER_31_139,VSS,Metal1,84.8400,141.1200,0.000053
FILLER_31_135,VSS,Metal1,83.0600,140.7710,0.000053
FILLER_31_98,VSS,Metal1,61.8800,141.1200,0.000052
FILLER_31_96,VSS,Metal1,61.0400,141.1200,0.000051
FILLER_31_92,VSS,Metal1,58.9800,140.7710,0.000051
FILLER_31_80,VSS,Metal1,52.2600,140.7710,0.000051
FILLER_31_72,VSS,Metal1,48.7730,140.6580,0.000050
FILLER_31_68,VSS,Metal1,45.3600,141.1200,0.000048
FILLER_31_60,VSS,Metal1,42.0530,140.6580,0.000046
FILLER_31_18,VSS,Metal1,18.5330,140.6580,0.000046
FILLER_31_2,VSS,Metal1,11.7120,140.5720,0.000046
FILLER_30_325,VSS,Metal1,189.0000,133.2800,0.000028
FILLER_30_317,VSS,Metal1,185.9730,133.7415,0.000028
FILLER_30_298,VSS,Metal1,173.8800,133.2800,0.000028
FILLER_30_296,VSS,Metal1,173.0400,133.2800,0.000028
FILLER_30_292,VSS,Metal1,170.9800,133.6285,0.000029
FILLER_30_261,VSS,Metal1,153.4400,133.2800,0.000037
FILLER_30_244,VSS,Metal1,143.6400,133.2800,0.000037
FILLER_30_240,VSS,Metal1,141.8600,133.6285,0.000039
FILLER_30_204,VSS,Metal1,121.5200,133.2800,0.000039
FILLER_30_200,VSS,Metal1,119.4600,133.6285,0.000039
FILLER_30_192,VSS,Metal1,115.9730,133.7415,0.000039
FILLER_30_174,VSS,Metal1,104.4400,133.2800,0.000040
FILLER_30_172,VSS,Metal1,103.6000,133.2800,0.000040
FILLER_30_142,VSS,Metal1,86.5200,133.2800,0.000041
FILLER_30_140,VSS,Metal1,85.6800,133.2800,0.000041
FILLER_30_136,VSS,Metal1,83.6200,133.6285,0.000043
FILLER_30_120,VSS,Metal1,77.7920,133.8280,0.000043
FILLER_30_115,VSS,Metal1,71.4000,133.2800,0.000043
FILLER_30_99,VSS,Metal1,62.4400,133.2800,0.000043
FILLER_30_97,VSS,Metal1,61.6000,133.2800,0.000043
FILLER_30_37,VSS,Metal1,27.7200,133.2800,0.000043
FILLER_30_34,VSS,Metal1,26.0400,133.2800,0.000041
FILLER_30_2,VSS,Metal1,16.1240,133.8775,0.000041
FILLER_29_325,VSS,Metal1,189.0000,133.2800,0.000028
FILLER_29_323,VSS,Metal1,188.1600,133.2800,0.000028
FILLER_29_290,VSS,Metal1,169.8600,132.9310,0.000030
FILLER_29_282,VSS,Metal1,166.3730,132.8180,0.000031
FILLER_29_264,VSS,Metal1,154.8400,133.2800,0.000037
FILLER_29_260,VSS,Metal1,153.0600,132.9310,0.000037
FILLER_29_244,VSS,Metal1,147.2320,132.7320,0.000037
FILLER_29_212,VSS,Metal1,133.7240,132.6820,0.000039
FILLER_29_176,VSS,Metal1,106.0200,132.9310,0.000039
FILLER_29_168,VSS,Metal1,102.5330,132.8180,0.000040
FILLER_29_152,VSS,Metal1,92.1200,133.2800,0.000041
FILLER_29_150,VSS,Metal1,91.2800,133.2800,0.000041
FILLER_29_142,VSS,Metal1,87.9730,132.8180,0.000041
FILLER_29_124,VSS,Metal1,80.0320,132.7320,0.000043
FILLER_29_88,VSS,Metal1,56.5600,133.2800,0.000043
